User ID,Tier 1,Tier 2,Tier 3,Tier 4,tournament_name,tournament_id,year
Tier King,46046,32102,39546,37275,WM Phoenix Open,R2024003,2024
Cole ,46046,33448,35532,37275,WM Phoenix Open,R2024003,2024
Chase Ramsey,46046,47504,34256,31323,WM Phoenix Open,R2024003,2024
Perry H,39977,51634,33653,30692,WM Phoenix Open,R2024003,2024
Kirk,51766,47504,27349,39324,WM Phoenix Open,R2024003,2024
Bighead,55182,57366,30927,26476,WM Phoenix Open,R2024003,2024
DC,46046,33448,35461,52374,WM Phoenix Open,R2024003,2024
Doc,46046,51634,55789,27649,WM Phoenix Open,R2024003,2024
Wheat ,34046,32102,30927,51349,WM Phoenix Open,R2024003,2024
Nile,39977,33448,35461,45242,WM Phoenix Open,R2024003,2024
zachsshirah,46046,57366,34256,50188,WM Phoenix Open,R2024003,2024
